months,revenue,rent,salaries,marketing,subscriptions,utilities,other,total_expenses,net_profit,archetype
2024-12-10,702812.58,121157.43,410031.71,60777.6,60862.05,45583.2,60625.59,759037.58,-56225.0,In Loss
2024-12-17,701928.33,121698.53,409311.61,60576.81,60303.57,45432.61,60802.93,758126.06,-56197.73,In Loss
2024-12-24,673228.02,116751.82,392509.62,58104.01,57974.55,43578.01,58313.41,727231.42,-54003.4,In Loss
2024-12-31,660674.88,113883.49,385512.92,57166.12,57409.5,42874.59,56977.82,713824.44,-53149.56,In Loss
2025-01-07,627169.23,108152.55,366159.92,54281.16,54386.75,40710.87,54122.46,677813.71,-50644.48,In Loss
2025-01-14,626796.1,108643.03,365883.59,54170.93,54021.61,40628.2,54295.71,677643.07,-50846.97,In Loss
2025-01-21,608092.14,105283.46,355094.88,52604.38,52621.7,39453.28,52629.16,657686.86,-49594.72,In Loss
2025-01-28,609898.98,105294.94,356479.15,52850.9,52992.6,39638.18,52689.14,659944.91,-50045.93,In Loss
2025-02-04,620759.04,107650.01,362924.45,53741.49,53603.9,40306.11,53816.91,672042.87,-51283.83,In Loss
2025-02-11,604191.03,105171.99,353244.49,52273.22,52063.6,39204.91,52520.99,654479.2,-50288.17,In Loss
2025-02-18,583408.71,101078.84,341431.7,50606.09,50747.42,37954.56,50542.3,632360.91,-48952.2,In Loss
2025-02-25,592535.39,102393.65,347207.51,51496.32,51709.26,38622.24,51257.68,642686.66,-50151.27,In Loss
2025-03-04,530065.63,92103.2,310721.8,46019.62,45934.98,34514.72,46052.13,575346.45,-45280.82,In Loss
2025-03-11,515371.04,89787.98,302222.56,44746.11,44650.8,33559.58,44862.82,559829.85,-44458.81,In Loss
2025-03-18,505520.53,87778.05,296804.85,43995.05,44100.11,32996.29,43907.2,549581.55,-44061.02,In Loss
2025-03-25,513654.78,89339.36,301881.84,44729.62,44725.93,33547.22,44687.12,558911.09,-45256.31,In Loss
2025-04-01,577303.0,100982.42,339408.35,50228.34,50012.14,37671.25,50441.12,628743.62,-51440.62,In Loss
2025-04-08,552453.34,96486.86,325108.58,48156.35,48173.94,36117.26,48216.71,602259.7,-49806.36,In Loss
2025-04-15,549204.56,95471.68,323749.47,48023.58,48270.47,36017.68,47789.5,599322.38,-50117.82,In Loss
2025-04-22,562350.15,98124.67,331845.95,49176.96,49190.93,36882.72,49093.29,614314.52,-51964.37,In Loss
2025-04-29,552998.38,97059.26,326491.58,48325.92,48149.09,36244.44,48491.87,604762.16,-51763.78,In Loss
2025-05-06,532732.48,93353.34,314915.23,46654.81,46682.84,34991.11,46667.28,583264.61,-50532.13,In Loss
2025-05-13,533354.91,93339.23,315786.19,46809.03,46897.71,35106.77,46699.13,584638.06,-51283.15,In Loss
2025-05-20,534884.89,94116.51,316970.77,46927.8,46786.67,35195.85,47037.24,587034.84,-52149.95,In Loss
2025-05-27,513942.08,90628.85,304842.47,45131.05,45043.13,33848.29,45272.34,564766.13,-50824.05,In Loss
2025-06-03,499645.77,87693.72,296919.67,44031.62,44230.23,33023.71,43876.77,549775.72,-50129.95,In Loss
2025-06-10,509426.98,89478.56,303250.31,44965.53,45087.73,33724.14,44789.64,561295.91,-51868.93,In Loss
2025-06-17,509531.64,90154.35,303564.76,44938.29,44775.31,33703.72,45056.25,562192.68,-52661.04,In Loss
2025-06-24,488434.74,86572.16,291329.3,43133.15,43050.48,32349.86,43252.05,539687.0,-51252.26,In Loss
2025-07-01,450277.85,79566.93,269093.25,39889.12,39990.07,29916.84,39802.0,498258.21,-47980.36,In Loss
2025-07-08,454709.23,80608.36,272155.48,40317.78,40290.54,30238.34,40311.13,503921.63,-49212.4,In Loss
2025-07-15,444009.76,79108.02,266032.91,39378.34,39255.04,29533.76,39518.13,492826.2,-48816.44,In Loss
2025-07-22,426292.48,75759.29,255883.86,37924.54,38019.0,28443.4,37881.67,473911.76,-47619.28,In Loss
2025-07-29,428858.49,76056.5,257997.19,38268.36,38438.34,28701.27,38077.12,477538.78,-48680.29,In Loss
2025-08-05,436004.78,77835.62,262651.24,38900.07,38818.89,29175.05,38921.99,486302.86,-50298.08,In Loss
2025-08-12,422413.83,75811.88,254747.07,37699.49,37546.36,28274.62,37864.71,471944.13,-49530.3,In Loss
2025-08-19,407340.1,72917.92,246153.89,36475.44,36531.14,27356.58,36457.31,455892.28,-48552.18,In Loss
2025-08-26,410246.69,73441.68,248440.67,36825.08,36888.72,27618.81,36743.21,459958.17,-49711.48,In Loss
2025-09-02,435572.74,78440.72,264149.96,39108.71,39003.48,29331.53,39200.6,489235.0,-53662.26,In Loss
2025-09-09,419398.48,75603.4,254773.91,37736.74,37735.27,28302.56,37783.43,471935.31,-52536.83,In Loss
2025-09-16,414955.14,74548.78,252701.25,37480.66,37657.08,28110.5,37312.93,467811.2,-52856.06,In Loss
2025-09-23,425562.46,76767.35,259670.94,38482.23,38493.43,28861.67,38410.38,480686.0,-55123.54,In Loss
2025-09-30,421163.43,76565.53,257311.03,38075.38,37888.33,28556.53,38245.12,476641.92,-55478.49,In Loss
2025-10-07,476335.42,86591.32,291575.81,43179.83,43149.51,32384.87,43266.21,540147.55,-63812.13,In Loss
2025-10-14,474057.46,85952.78,290929.35,43134.27,43272.63,32350.7,43005.51,538645.24,-64587.78,In Loss
2025-10-21,481630.74,87736.25,296152.1,43870.5,43833.92,32902.88,43872.95,548368.6,-66737.86,In Loss
2025-10-28,471209.67,86221.13,290228.39,42971.43,42887.05,32228.57,43080.64,537617.21,-66407.54,In Loss
2025-11-04,491149.18,89649.67,303260.92,44960.05,45111.2,33720.04,44846.07,561547.95,-70398.77,In Loss
2025-11-11,501701.23,91660.14,310558.39,46046.31,46161.83,34534.73,45878.35,574839.75,-73138.52,In Loss
2025-11-18,507432.23,93466.99,314618.54,46569.69,46377.02,34927.27,46708.86,582668.37,-75236.14,In Loss
2025-11-25,489212.57,90429.19,303860.77,44972.73,44829.77,33729.54,45162.15,562984.15,-73771.58,In Loss
2025-12-02,410153.1,75552.87,255455.57,37869.23,37987.54,28401.92,37789.35,473056.48,-62903.38,In Loss
2025-12-09,418724.75,77273.56,261457.62,38755.21,38819.57,29066.41,38663.1,484035.47,-65310.72,In Loss
2025-12-16,418284.04,77695.68,261664.16,38742.27,38647.03,29056.7,38828.68,484634.52,-66350.48,In Loss
2025-12-23,405956.99,75438.41,254543.4,37713.64,37750.11,28285.23,37713.48,471444.27,-65487.28,In Loss
2025-12-30,407910.5,75693.51,256505.12,38038.13,38175.95,28528.6,37885.44,474826.75,-66916.25,In Loss
2026-01-06,386592.06,72202.65,243625.52,36081.89,36006.33,27061.41,36104.38,451082.18,-64490.12,In Loss
2026-01-13,377936.89,71059.41,238591.72,35301.76,35131.87,26476.32,35484.28,442045.36,-64108.47,In Loss
2026-01-20,363809.82,68263.42,230287.92,34121.33,34172.23,25591.0,34122.98,426558.88,-62749.06,In Loss
2026-01-27,367263.5,68819.44,233182.68,34579.65,34709.84,25934.74,34443.19,431669.54,-64406.04,In Loss
2026-02-03,372948.46,70334.04,237321.81,35151.7,35104.57,26363.77,35168.02,439443.91,-66495.45,In Loss
2026-02-10,363325.11,68797.87,231701.29,34310.5,34261.36,25732.87,34379.4,429183.29,-65858.18,In Loss
2026-02-17,357092.26,67496.18,228402.49,33862.4,33968.28,25396.8,33768.53,422894.68,-65802.42,In Loss
2026-02-24,364292.47,69093.16,233643.12,34623.97,34636.22,25967.98,34567.16,432531.61,-68239.14,In Loss
2026-03-03,318440.01,60894.01,204637.89,30281.0,30132.3,22710.75,30416.75,379072.7,-60632.69,In Loss
2026-03-10,304187.26,58232.02,195964.26,29017.3,28988.81,21762.98,29091.22,363056.59,-58869.33,In Loss
2026-03-17,300258.65,57287.19,194076.78,28782.95,28915.19,21587.21,28668.15,359317.47,-59058.82,In Loss
2026-03-24,306567.47,58742.65,198703.36,29449.4,29475.82,22087.05,29390.49,367848.77,-61281.3,In Loss
2026-03-31,302192.94,58309.76,196295.46,29060.92,28979.71,21795.69,29137.42,363578.96,-61386.02,In Loss
2026-04-07,331583.0,63984.87,215996.79,32005.33,32043.58,24004.0,31991.75,400026.32,-68443.32,In Loss
2026-04-14,332543.0,64195.56,217307.37,32214.97,32285.27,24161.23,32123.07,402287.47,-69744.47,In Loss
2026-04-21,334244.82,65012.87,218940.75,32412.25,32300.14,24309.19,32492.42,405467.62,-71222.8,In Loss
2026-04-28,320586.81,62645.6,210486.0,31152.47,31052.85,23364.35,31285.75,389987.02,-69400.21,In Loss
2026-05-05,309133.66,60212.42,203643.03,30192.02,30306.0,22644.01,30117.63,377115.11,-67981.45,In Loss
2026-05-12,313255.69,61082.06,207039.34,30702.39,30804.37,23026.79,30575.26,383230.21,-69974.52,In Loss
2026-05-19,313536.17,61632.19,207724.65,30758.54,30679.75,23068.91,30808.7,384672.74,-71136.57,In Loss
2026-05-26,301123.17,59393.68,200022.93,29619.76,29579.94,22214.82,29679.47,370510.6,-69387.43,In Loss
2026-06-02,295071.32,58129.87,196661.15,29153.67,29229.56,21865.26,29081.51,364121.02,-69049.7,In Loss
2026-06-09,297496.06,58903.47,198854.74,29456.94,29425.13,22092.71,29456.82,368189.81,-70693.75,In Loss
2026-06-16,289458.48,57722.55,193942.89,28700.38,28580.25,21525.28,28829.23,359300.58,-69842.1,In Loss
2026-06-23,275331.29,54853.34,185057.55,27420.33,27465.42,20565.25,27419.75,342781.64,-67450.35,In Loss
2026-06-30,274262.47,54544.14,185016.14,27444.73,27579.81,20583.55,27305.76,342474.13,-68211.66,In Loss
2026-07-07,261381.51,52346.65,176827.09,26196.67,26173.88,19647.5,26182.54,327374.33,-65992.82,In Loss
2026-07-14,253384.01,51092.04,171842.5,25435.88,25349.83,19076.91,25524.52,318321.68,-64937.67,In Loss
2026-07-21,243650.89,49100.76,165785.72,24566.59,24601.0,18424.94,24551.08,307030.09,-63379.2,In Loss
2026-07-28,243962.71,49249.95,166562.26,24686.33,24716.94,18514.75,24638.92,308369.15,-64406.44,In Loss
2026-08-04,241893.64,49207.67,165587.13,24511.05,24424.33,18383.29,24587.34,306700.81,-64807.17,In Loss
2026-08-11,230555.19,47020.17,158285.16,23439.33,23419.16,17579.5,23492.29,293235.61,-62680.42,In Loss
2026-08-18,225291.91,45812.24,155257.61,23028.05,23143.25,17271.03,22927.66,287439.84,-62147.93,In Loss
