months,revenue,rent,salaries,marketing,subscriptions,utilities,other,total_expenses,net_profit,archetype
2025-01-09,360298.87,51825.85,185601.73,59424.0,29753.28,18570.0,25932.98,371107.84,-10808.97,Growing
2025-01-16,363509.63,52568.21,187094.11,59808.95,29769.59,18690.3,26264.09,374195.25,-10685.62,Growing
2025-01-23,350586.61,50660.99,180230.57,57628.59,28750.1,18008.94,25303.37,360582.56,-9995.95,Growing
2025-01-30,353392.31,50680.75,181547.12,58149.09,29198.33,18171.59,25356.43,363103.31,-9711.0,Growing
2025-02-06,371901.34,53283.78,190896.2,61126.47,30622.69,19102.02,26664.64,381695.8,-9794.46,Growing
2025-02-13,374570.92,53871.07,191983.92,61396.27,30613.51,19186.33,26922.74,383973.84,-9402.92,Growing
2025-02-20,367958.54,52767.83,188330.96,60263.3,30141.57,18832.28,26377.62,376713.56,-8755.02,Growing
2025-02-27,379299.79,54132.56,193933.76,62104.84,31135.67,19407.76,27087.71,387802.3,-8502.51,Growing
2025-03-06,345169.67,49397.18,176227.02,56366.32,28111.01,17614.48,24694.88,352410.89,-7241.22,Growing
2025-03-13,337231.79,48351.97,171853.23,54930.72,27355.22,17165.85,24146.1,343803.09,-6571.3,Growing
2025-03-20,332372.86,47318.08,169137.11,54149.14,27150.18,16921.61,23660.39,338336.51,-5963.65,Growing
2025-03-27,348746.59,49402.12,177267.81,56789.85,28512.34,17746.83,24730.42,354449.37,-5702.78,Growing
2025-04-03,408938.46,58126.03,207508.48,66383.62,33130.76,20744.88,29063.35,414957.12,-6018.66,Growing
2025-04-10,400715.79,56975.05,202937.19,64899.86,32380.82,20281.21,28467.75,405941.88,-5226.09,Growing
2025-04-17,402813.78,56927.04,203691.0,65216.64,32686.19,20380.2,28475.31,407376.38,-4562.6,Growing
2025-04-24,419641.7,59252.54,211869.93,67808.06,33901.23,21190.02,29637.84,423659.62,-4017.92,Growing
2025-05-01,418405.08,59269.12,210801.37,67383.48,33546.72,21057.34,29605.16,421663.19,-3258.11,Growing
2025-05-08,406069.93,57266.46,204187.32,65329.24,32676.56,20415.39,28617.37,408492.34,-2422.41,Growing
2025-05-15,417717.51,58450.93,209746.22,67203.72,33774.61,21001.16,29258.32,419434.96,-1717.45,Growing
2025-05-22,438490.67,61417.04,219793.78,70354.89,35187.44,21985.9,30727.9,439466.95,-976.28,Growing
2025-05-29,434745.78,61079.85,217420.84,69512.53,34629.09,21722.67,30516.16,434881.14,-135.36,Growing
2025-06-05,426734.54,59665.79,212989.1,68157.54,34099.25,21299.23,29826.89,426037.8,696.74,Growing
2025-06-12,440705.88,61336.63,219592.27,70308.42,35220.81,21971.38,30687.71,439117.22,1588.66,Growing
2025-06-19,449543.38,62717.2,223515.81,71478.1,35631.57,22336.91,31344.59,447024.18,2519.2,Growing
2025-06-26,436790.29,60871.42,216665.94,69285.82,34575.42,21651.82,30407.45,433457.87,3332.42,Growing
2025-07-03,411741.19,56901.25,203873.35,65304.02,32799.29,20407.51,28470.03,407755.45,3985.74,Growing
2025-07-10,434458.0,59878.53,214744.28,68778.67,34482.8,21493.34,29972.97,429350.59,5107.41,Growing
2025-07-17,440724.44,60991.41,217320.92,69489.71,34618.84,21715.53,30481.55,434617.96,6106.48,Growing
2025-07-24,428241.48,59154.95,210651.79,67366.8,33618.84,21052.13,29554.22,421398.73,6842.75,Growing
2025-07-31,433659.22,59490.6,212905.42,68169.82,34171.17,21303.07,29759.16,425799.24,7859.98,Growing
2025-08-07,450212.61,61735.64,220567.3,70578.83,35265.57,22055.88,30873.14,441076.36,9136.25,Growing
2025-08-14,445543.29,61181.19,217721.31,69610.82,34696.43,21753.38,30562.85,435525.98,10017.31,Growing
2025-08-21,438660.61,59840.22,213879.11,68469.87,34320.21,21396.84,29921.71,427827.96,10832.65,Growing
2025-08-28,459089.33,62241.61,223422.87,71582.4,35950.18,22369.5,31160.8,446727.36,12361.97,Growing
