months,revenue,rent,salaries,marketing,subscriptions,utilities,other,total_expenses,net_profit,archetype
2024-12-10,872179.85,77248.87,309845.91,116253.74,64675.14,32292.7,45096.72,645413.08,226766.77,Profit Making
2024-12-17,871460.57,77658.26,309558.4,115965.81,64134.85,32212.73,45266.16,644796.21,226664.36,Profit Making
2024-12-24,847852.61,75548.7,301023.1,112795.22,62524.39,31332.0,44022.89,627246.3,220606.31,Profit Making
2024-12-31,862215.9,76289.29,306075.08,114884.86,64096.65,31912.46,44530.28,637788.62,224427.28,Profit Making
2025-01-07,829531.79,73402.74,294532.03,110521.27,61520.15,30700.35,42854.83,613531.37,216000.42,Profit Making
2025-01-14,826424.57,73503.94,293385.0,109950.27,60915.11,30541.74,42856.93,611152.99,215271.58,Profit Making
2025-01-21,815970.75,72440.13,289567.41,108583.08,60343.8,30161.97,42246.65,603343.04,212627.71,Profit Making
2025-01-28,838283.53,74141.58,297491.57,111642.1,62189.67,31011.69,43283.49,619760.1,218523.43,Profit Making
2025-02-04,852481.61,75719.29,302548.4,113402.69,62840.2,31500.75,44162.94,630174.27,222307.34,Profit Making
2025-02-11,830417.01,74006.35,294598.49,110349.25,61059.31,30652.57,43117.01,613782.98,216634.03,Profit Making
2025-02-18,826199.77,73187.74,293000.35,109926.42,61240.79,30535.12,42695.28,610585.7,215614.07,Profit Making
2025-02-25,859015.86,75814.79,304688.61,114387.44,63811.35,31774.29,44277.86,634754.34,224261.52,Profit Making
2025-03-04,765281.9,67891.28,271454.63,101766.21,56432.8,28268.39,39603.7,565417.01,199864.89,Profit Making
2025-03-11,747785.66,66465.17,265148.42,99369.35,55087.61,27602.6,38744.43,552417.58,195368.08,Profit Making
2025-03-18,752700.27,66586.3,266843.21,100120.73,55755.46,27811.32,38858.09,555975.11,196725.16,Profit Making
2025-03-25,771912.53,68340.04,273687.91,102647.62,57021.75,28513.23,39880.59,570091.14,201821.39,Profit Making
2025-04-01,863465.15,76837.29,306080.04,114655.88,63423.54,31848.85,44777.29,637622.89,225842.26,Profit Making
2025-04-08,842638.61,74763.03,298561.22,111942.12,62212.79,31095.03,43587.61,622161.8,220476.81,Profit Making
2025-04-15,864234.9,76191.92,306217.22,114976.76,64204.38,31937.99,44495.25,638023.52,226211.38,Profit Making
2025-04-22,887284.64,78451.51,314445.82,117952.2,65547.61,32764.5,45792.26,654953.9,232330.74,Profit Making
2025-04-29,868345.66,77168.49,307653.03,115266.85,63802.82,32018.57,44979.92,640889.68,227455.98,Profit Making
2025-05-06,853812.08,75635.38,302395.28,113399.93,63037.82,31499.98,44111.76,630080.15,223731.93,Profit Making
2025-05-13,872297.69,77052.48,308959.63,115923.99,64524.23,32201.11,44975.7,643637.14,228660.55,Profit Making
2025-05-20,872480.3,77417.59,309014.78,115804.46,64142.33,32167.91,45140.09,643687.16,228793.14,Profit Making
2025-05-27,844927.65,75034.23,299126.34,112095.88,62154.17,31137.75,43729.32,623277.69,221649.96,Profit Making
2025-06-03,848166.37,74812.98,300215.83,112692.32,62889.25,31303.42,43670.67,625584.47,222581.9,Profit Making
2025-06-10,876818.98,77284.95,310429.81,116513.67,64905.74,32364.91,45133.64,646632.72,230186.26,Profit Making
2025-06-17,869575.71,77139.55,307842.08,115352.82,63852.47,32042.45,44977.18,641206.55,228369.16,Profit Making
2025-06-24,841887.09,74694.92,297908.7,111646.53,61906.96,31012.93,43537.78,620707.82,221179.27,Profit Making
2025-07-01,797317.41,70380.76,282104.74,105851.51,58955.23,29403.2,41074.57,587770.01,209547.4,Profit Making
2025-07-08,810028.94,71630.53,286629.81,107482.05,59671.91,29856.13,41791.68,597062.11,212966.83,Profit Making
2025-07-15,790552.25,70165.36,279655.79,104780.62,58029.18,29105.73,40892.67,582629.35,207922.9,Profit Making
2025-07-22,778476.0,68768.8,275286.35,103275.46,57518.16,28687.63,40117.28,573653.68,204822.32,Profit Making
2025-07-29,802624.7,70606.96,283865.35,106579.16,59473.65,29605.32,41240.33,591370.77,211253.93,Profit Making
2025-08-05,812066.32,71820.83,287235.24,107682.13,59698.57,29911.7,41899.98,598248.45,213817.87,Profit Making
2025-08-12,785903.5,69773.02,277872.52,104089.49,57592.61,28913.75,40656.65,578898.04,207005.46,Profit Making
2025-08-19,777927.88,68725.69,274965.23,103135.13,57384.79,28648.65,40088.18,572947.67,204980.21,Profit Making
2025-08-26,797608.34,70324.42,281950.25,105786.09,58871.61,29385.03,41047.57,587364.97,210243.37,Profit Making
2025-09-02,844912.02,74826.84,298643.18,111920.74,62010.89,31089.09,43627.01,622117.75,222794.27,Profit Making
2025-09-09,825182.99,72998.69,291551.22,109309.86,60725.33,30363.85,42561.98,607510.93,217672.06,Profit Making
2025-09-16,841267.51,73981.9,297220.36,111586.97,62284.55,30996.38,43200.73,619270.89,221996.62,Profit Making
2025-09-23,866935.94,76416.83,306352.92,114919.55,63862.79,31922.1,44607.5,638081.69,228854.25,Profit Making
2025-09-30,851186.1,75499.82,300716.47,112636.22,62268.27,31287.84,43998.25,626406.87,224779.23,Profit Making
2025-10-07,980447.39,86754.8,346223.78,129784.05,72051.62,36051.13,50572.55,721437.93,259009.46,Profit Making
