months,revenue,rent,salaries,marketing,subscriptions,utilities,other,total_expenses,net_profit,archetype
1976-03-31,8.01,1.86,4.26,1.07,0.67,0.79,1.06,9.71,-1.7,source
1976-06-30,8.8,1.99,3.6,1.21,0.5,0.88,1.08,9.26,-0.46,source
1976-09-30,9.14,2.66,4.14,1.04,0.48,0.92,0.7,9.95,-0.81,source
1976-12-31,8.65,3.15,8.55,1.12,0.35,1.76,0.67,15.6,-6.94,source
1977-03-31,6.83,3.04,8.82,1.82,0.87,1.9,0.81,17.25,-10.42,source
1977-06-30,5.18,2.22,9.11,2.46,0.81,1.26,0.63,16.49,-11.31,source
1977-09-30,3.8,1.33,8.68,2.19,0.81,1.2,0.6,14.8,-11.0,source
1977-12-31,3.9,1.23,8.41,1.42,1.13,0.67,0.68,13.54,-9.64,source
1978-03-31,4.58,2.03,10.14,0.74,1.81,0.56,0.56,15.84,-11.27,source
1978-06-30,6.07,1.76,11.84,0.35,1.65,1.11,0.49,17.2,-11.13,source
1978-09-30,4.93,1.26,18.41,0.31,1.24,1.6,0.83,23.64,-18.71,source
1978-12-31,3.86,1.31,12.92,0.27,1.13,1.06,0.43,17.12,-13.25,source
1979-03-31,4.34,1.49,10.96,0.16,1.4,1.05,0.36,15.42,-11.08,source
1979-06-30,3.2,0.9,18.23,0.12,1.91,0.86,0.38,22.4,-19.2,source
1979-09-30,4.18,1.19,24.8,0.08,2.79,0.78,0.39,30.02,-25.84,source
1979-12-31,5.18,1.69,31.36,0.17,3.64,0.28,0.4,37.54,-32.36,source
1980-03-31,4.11,1.81,30.69,0.12,1.89,0.27,0.25,35.03,-30.92,source
1980-06-30,3.73,1.14,23.05,0.3,1.5,0.41,0.17,26.56,-22.84,source
1980-09-30,4.86,1.15,28.87,0.55,1.44,0.49,0.12,32.61,-27.75,source
1980-12-31,4.64,1.03,41.61,0.65,4.89,0.53,0.17,48.89,-44.24,source
1981-03-31,5.44,0.81,42.41,0.62,7.66,0.4,0.17,52.07,-46.63,source
1981-06-30,4.38,0.55,39.54,0.44,9.96,0.7,0.27,51.45,-47.07,source
1981-09-30,4.14,0.55,49.06,0.82,8.4,1.33,0.36,60.53,-56.39,source
1981-12-31,5.57,0.87,58.99,0.71,6.44,1.69,0.4,69.1,-63.53,source
1982-03-31,4.45,1.22,54.17,0.51,5.91,2.03,0.28,64.11,-59.66,source
1982-06-30,5.55,0.86,44.13,0.62,4.12,2.69,0.33,52.75,-47.2,source
1982-09-30,10.31,0.82,43.37,0.43,6.74,5.22,0.5,57.07,-46.76,source
1982-12-31,7.62,0.83,35.26,0.79,4.64,4.0,0.54,46.06,-38.44,source
1983-03-31,8.23,0.8,23.33,1.63,5.58,2.81,0.86,35.01,-26.78,source
1983-06-30,8.3,0.62,20.02,0.85,9.24,2.8,0.9,34.42,-26.12,source
1983-09-30,7.49,0.65,20.43,1.14,8.19,2.82,0.66,33.89,-26.4,source
1983-12-31,7.26,0.65,33.39,2.64,7.77,2.63,0.65,47.75,-40.48,source
1984-03-31,9.75,0.47,36.37,3.85,7.41,2.84,0.68,51.62,-41.87,source
1984-06-30,8.99,0.54,50.87,8.75,15.02,2.41,0.66,78.25,-69.26,source
1984-09-30,10.3,0.5,62.76,9.54,47.85,2.0,0.59,123.24,-112.94,source
1984-12-31,12.7,0.52,53.12,16.86,110.94,1.7,0.44,183.59,-170.89,source
1985-03-31,10.94,0.87,60.16,23.27,113.5,1.5,0.34,199.62,-188.68,source
1985-06-30,10.71,1.84,116.45,39.22,104.94,1.12,0.29,263.86,-253.15,source
1985-09-30,11.14,2.03,131.15,68.3,105.49,1.05,0.4,308.42,-297.28,source
1985-12-31,15.01,3.11,171.52,128.54,95.1,1.05,0.47,399.8,-384.79,source
1986-03-31,18.58,3.22,384.86,389.48,33.73,1.63,0.57,813.49,-794.91,source
1986-06-30,21.3,4.7,372.85,661.47,20.62,2.37,0.74,1062.75,-1041.45,source
1986-09-30,28.41,4.42,330.61,1267.05,14.66,2.57,0.7,1620.01,-1591.6,source
1986-12-31,31.38,5.54,401.4,1859.63,17.08,1.86,0.9,2286.4,-2255.03,source
1987-03-31,28.37,3.81,502.52,1165.37,22.45,1.67,1.22,1697.04,-1668.67,source
1987-06-30,31.18,2.58,565.12,1712.35,25.32,1.65,1.77,2308.78,-2277.6,source
1987-09-30,24.33,1.78,529.46,1439.28,20.88,2.03,2.1,1995.54,-1971.21,source
1987-12-31,28.15,1.85,933.57,2220.06,28.23,1.4,2.37,3187.47,-3159.32,source
1988-03-31,37.01,2.42,1302.02,3037.96,26.87,2.04,2.5,4373.81,-4336.8,source
1988-06-30,43.5,2.27,1946.22,1655.33,27.91,1.97,2.07,3635.78,-3592.28,source
1988-09-30,58.88,1.2,2799.97,1826.16,35.76,2.25,2.92,4668.27,-4609.4,source
1988-12-31,68.48,1.02,2074.88,3131.27,37.9,1.64,3.43,5250.14,-5181.65,source
1989-03-31,114.65,1.15,2494.88,2574.36,57.47,1.48,3.73,5133.06,-5018.42,source
1989-06-30,161.56,1.55,3590.71,2741.63,34.22,2.35,5.05,6375.51,-6213.95,source
1989-09-30,154.14,1.44,7073.93,5381.89,39.47,2.23,4.43,12503.38,-12349.24,source
1989-12-31,172.72,1.38,8476.36,9136.74,67.84,2.05,4.65,17689.02,-17516.3,source
1990-03-31,160.06,1.26,7480.06,17425.51,55.71,1.09,6.45,24970.07,-24810.0,source
1990-06-30,127.37,1.64,8455.71,24434.43,52.86,1.71,8.51,32954.86,-32827.49,source
1990-09-30,132.2,1.65,11941.61,19506.26,29.45,2.42,9.59,31490.98,-31358.77,source
1990-12-31,94.8,1.23,11876.5,38799.21,21.13,2.35,12.47,50712.89,-50618.09,source
1991-03-31,81.91,1.38,10539.07,49629.71,37.89,1.77,12.68,60222.5,-60140.6,source
1991-06-30,68.89,1.96,11399.92,43318.53,33.89,1.91,12.02,54768.24,-54699.35,source
1991-09-30,63.18,2.51,12610.49,13925.1,34.05,1.61,18.97,26592.72,-26529.54,source
1991-12-31,54.72,4.3,14152.22,20441.65,34.04,1.08,17.49,34650.79,-34596.07,source
1992-03-31,58.94,5.42,13119.98,41289.16,41.05,0.94,15.38,54471.93,-54412.99,source
1992-06-30,85.88,7.57,12153.35,34680.6,89.69,0.77,14.24,46946.21,-46860.33,source
1992-09-30,109.22,10.1,13144.2,28477.38,273.35,0.61,13.4,41919.04,-41809.82,source
1992-12-31,147.21,6.48,14110.56,21666.85,313.34,0.77,15.88,36113.88,-35966.67,source
1993-03-31,157.26,6.3,20794.93,17580.84,664.17,0.66,11.49,39058.39,-38901.12,source
1993-06-30,175.18,10.07,17680.78,32199.28,738.65,0.44,9.9,50639.13,-50463.95,source
1993-09-30,192.88,16.52,23784.85,23301.32,791.03,0.36,7.57,47901.65,-47708.78,source
1993-12-31,213.27,16.72,21041.96,32189.98,673.85,0.26,5.96,53928.73,-53715.46,source
1994-03-31,182.76,9.96,20657.49,49088.34,902.95,0.29,4.84,70663.85,-70481.09,source
1994-06-30,203.81,6.9,24025.19,58045.77,957.39,0.34,5.22,83040.8,-82836.99,source
1994-09-30,211.15,8.69,37201.57,50257.7,1378.61,0.2,4.27,88851.03,-88639.88,source
1994-12-31,290.03,9.18,63542.3,61951.6,2694.38,0.35,4.53,128202.34,-127912.31,source
1995-03-31,195.32,8.99,69826.83,41859.83,2208.75,0.33,2.35,113907.08,-113711.76,source
1995-06-30,248.41,9.24,83370.16,42147.7,3541.26,0.41,3.16,129071.94,-128823.53,source
1995-09-30,250.19,7.22,97794.13,31900.66,5572.31,0.47,3.13,135277.93,-135027.73,source
1995-12-31,173.02,4.79,110645.96,21677.74,4829.79,0.4,1.96,137160.63,-136987.61,source
1996-03-31,248.6,4.46,136757.84,34476.43,6847.93,0.29,3.2,178090.15,-177841.55,source
1996-06-30,386.91,5.44,150053.01,50780.12,6113.22,0.15,3.6,206955.54,-206568.62,source
1996-09-30,387.0,7.75,187030.95,53775.21,5609.3,0.18,5.39,246428.78,-246041.78,source
1996-12-31,486.57,8.23,247769.56,47297.27,5256.44,0.34,7.57,300339.41,-299852.83,source
1997-03-31,588.98,6.7,351275.98,42046.65,2245.13,0.36,7.8,395582.62,-394993.64,source
1997-06-30,503.83,4.18,448156.42,52934.09,1976.64,0.39,6.27,503077.99,-502574.16,source
1997-09-30,587.19,2.91,686505.91,59055.78,1039.54,0.52,5.06,746609.71,-746022.53,source
1997-12-31,510.29,2.21,613275.0,33907.45,507.05,0.51,7.03,647699.25,-647188.97,source
1998-03-31,708.12,2.36,886494.54,57334.05,531.39,0.25,8.57,944371.17,-943663.04,source
1998-06-30,1108.95,4.24,1134605.51,76364.46,366.06,0.2,8.92,1211349.4,-1210240.45,source
1998-09-30,1674.05,2.4,1212607.25,102150.19,258.37,0.2,17.36,1315035.77,-1313361.72,source
1998-12-31,1506.64,2.08,1382526.33,113325.32,210.49,0.24,20.16,1496084.61,-1494577.97,source
1999-03-31,1963.71,2.18,1520967.93,121299.82,453.82,0.22,19.81,1642743.78,-1640780.07,source
1999-06-30,1838.93,1.53,1461887.55,195405.17,718.85,0.16,18.78,1658032.04,-1656193.11,source
1999-09-30,2893.74,3.23,1364113.71,369897.88,909.1,0.16,18.04,1734942.13,-1732048.39,source
1999-12-31,2974.59,8.34,1688427.79,288528.21,1008.87,0.13,17.87,1977991.22,-1975016.63,source
2000-03-31,2958.02,19.77,1493801.98,192453.04,1474.3,0.13,15.27,1687764.49,-1684806.47,source
2000-06-30,2568.3,24.07,1446348.83,256003.02,1525.89,0.13,12.58,1703914.52,-1701346.22,source
2000-09-30,3380.59,21.82,1458261.78,264772.37,1721.43,0.09,7.72,1724785.21,-1721404.62,source
2000-12-31,3559.83,22.4,1755323.06,266382.56,3497.12,0.07,11.67,2025236.88,-2021677.05,source
2001-03-31,2955.47,25.44,1655767.44,447798.1,1961.45,0.07,11.26,2105563.77,-2102608.3,source
2001-06-30,3283.09,22.21,2096367.99,358106.42,2184.53,0.07,10.11,2456691.33,-2453408.23,source
2001-09-30,4138.15,17.48,1487067.87,359174.12,2315.03,0.07,10.21,1848584.78,-1844446.63,source
2001-12-31,7405.48,25.43,1236333.64,247524.01,1810.23,0.07,18.23,1485711.6,-1478306.12,source
