months,revenue,rent,salaries,marketing,subscriptions,utilities,other,total_expenses,net_profit,archetype
1976-01-01,7650.85,1342.0,3793.0,1433.0,679.0,721.0,1033.0,9001.0,-1350.15,source
1976-02-01,11416.27,1831.81,3709.69,1658.74,528.33,832.1,823.79,9384.46,2031.81,source
1976-03-01,15570.7,2228.08,4009.21,1668.6,469.63,754.12,922.04,10051.68,5519.02,source
1976-04-01,19594.52,1842.19,5509.72,1518.25,236.84,635.3,762.73,10505.03,9089.49,source
1976-05-01,15614.17,2103.78,5040.19,1665.74,178.99,683.72,786.08,10458.5,5155.67,source
1976-06-01,14950.89,2540.57,5591.75,1815.24,213.86,650.08,937.14,11748.64,3202.25,source
1976-07-01,12962.29,2368.23,7614.83,1532.63,265.76,713.69,965.31,13460.45,-498.16,source
1976-08-01,12875.1,3054.76,8365.79,1824.71,246.23,641.02,1033.65,15166.16,-2291.06,source
1976-09-01,12041.42,2072.51,7793.46,2127.71,207.33,615.29,1221.18,14037.48,-1996.06,source
1976-10-01,11959.67,2184.48,6439.18,3259.28,121.2,682.2,815.49,13501.83,-1542.16,source
1976-11-01,10166.93,2545.68,5438.63,4356.41,187.23,693.96,906.62,14128.53,-3961.6,source
1976-12-01,11207.37,1960.12,5745.27,4557.42,220.42,453.68,793.26,13730.17,-2522.8,source
1977-01-01,11249.57,1357.13,7831.22,4914.43,154.86,474.44,848.44,15580.52,-4330.95,source
1977-02-01,14870.95,1676.06,11635.62,7058.07,116.19,354.25,917.25,21757.44,-6886.49,source
1977-03-01,16324.05,1712.31,14339.65,10276.63,144.06,284.22,976.38,27733.25,-11409.2,source
1977-04-01,19159.66,2001.17,13252.14,10924.0,110.62,279.37,1269.43,27836.73,-8677.07,source
1977-05-01,16370.45,1791.55,15265.05,11825.89,95.53,326.79,1208.81,30513.62,-14143.17,source
1977-06-01,25993.9,1584.03,16627.44,6717.36,77.74,440.12,1121.86,26568.55,-574.65,source
1977-07-01,29574.11,1838.66,18046.52,7530.42,64.98,481.58,1906.28,29868.44,-294.33,source
1977-08-01,39826.85,1870.05,26096.74,5959.45,38.66,579.75,1412.27,35956.92,3869.93,source
1977-09-01,39858.67,1811.28,33901.55,9191.34,43.36,602.01,1776.7,47326.24,-7467.57,source
1977-10-01,42856.8,2039.01,25396.83,9598.63,30.34,516.49,1804.86,39386.16,3470.64,source
1977-11-01,49892.76,2815.95,29648.69,10189.1,37.18,743.43,1508.59,44942.94,4949.82,source
1977-12-01,45487.58,2287.34,35256.89,12650.13,27.3,739.09,1742.45,52703.2,-7215.62,source
1978-01-01,49731.7,1857.94,38123.39,9543.65,19.87,962.03,1659.74,52166.62,-2434.92,source
1978-02-01,55362.3,1978.96,48320.46,5878.92,20.31,761.85,1264.92,58225.42,-2863.12,source
1978-03-01,58720.58,2182.14,48552.76,5931.42,14.66,699.89,1333.03,58713.9,6.68,source
1978-04-01,67817.47,2137.53,56675.69,5123.91,17.67,716.66,1380.14,66051.6,1765.87,source
1978-05-01,81637.23,1655.67,57094.17,5873.17,25.74,600.85,1926.74,67176.34,14460.89,source
1978-06-01,59302.48,2007.87,63923.87,4599.28,19.11,644.1,1286.66,72480.89,-13178.41,source
1978-07-01,65185.54,2026.65,99532.52,3700.27,13.86,583.14,1305.5,107161.94,-41976.4,source
1978-08-01,79005.84,1804.68,102422.64,3567.44,13.46,744.51,992.19,109544.92,-30539.08,source
1978-09-01,73557.14,1691.06,103181.93,4295.83,15.33,1019.55,1212.71,111416.41,-37859.27,source
1978-10-01,69134.26,1546.1,78781.2,3417.92,12.25,843.53,1556.66,86157.66,-17023.4,source
1978-11-01,71860.78,1608.87,82602.97,2279.61,20.3,654.46,1252.04,88418.25,-16557.47,source
1978-12-01,71002.43,1297.61,90969.39,1874.63,18.63,487.76,1221.53,95869.55,-24867.12,source
1979-01-01,69150.1,1072.95,78042.17,1589.0,21.36,440.66,1306.43,82472.57,-13322.47,source
1979-02-01,71541.33,1207.87,115090.15,1696.85,22.86,459.94,1334.2,119811.87,-48270.54,source
